id,product_code,product_weight_kg,shelf_visibility,product_category,product_price,store_code,store_age_years,total_sales,store_format_Flagship Hypermarket,store_format_Standard Supermarket,store_format_Superstore,store_location_tier_Tier_2,store_location_tier_Tier_3,store_size_Medium,store_size_Small,fat_content_Regular,price_tier_Medium,price_tier_High,price_tier_Premium
row_00000,PRD-PRFP9S,14.252,0.0271,Frozen Foods,81.37,STORE-AGY,45,1764.98,False,True,False,False,True,False,False,False,False,False,False
row_00001,PRD-PXXK71,7.698,0.072,HEALTH AND HYGIENE,42.05,STORE-YLW,35,342.13,False,True,False,False,False,False,True,False,False,False,False
row_00002,PRD-V5MOIJ,14.264,0.0421,Canned,41.35,STORE-89Z,33,378.85,False,True,False,False,False,True,False,True,False,False,False
row_00003,PRD-UN5Z3J,12.850875916323977,0.0449,soft drinks,174.35,STORE-7WS,47,5595.72,True,False,False,False,True,True,False,True,False,True,False
row_00004,PRD-6RDQYB,10.338,0.012,meat,203.06,STORE-9RG,28,2375.36,False,True,False,True,False,False,True,True,False,False,True
row_00005,PRD-E6VA05,9.222,0.0405,soft drinks,31.69,STORE-89Z,33,842.75,False,True,False,False,False,True,False,False,False,False,False
row_00006,PRD-MHLD93,12.850875916323977,0.1239,Canned,212.23,STORE-7WS,47,4512.7,True,False,False,False,True,True,False,False,False,False,True
row_00007,PRD-EF6Y39,10.21,0.0133,Snack Foods,142.7,STORE-HL7,23,2373.55,False,False,True,False,True,True,False,True,False,True,False
row_00008,PRD-IAZMTU,14.054,0.0233,baking goods,102.71,STORE-HL7,23,2037.05,False,False,True,False,True,True,False,False,True,False,False
row_00010,PRD-DH2TA3,8.755,0.0258,household,104.6,STORE-JOR,34,213.93,False,False,False,False,True,True,False,False,True,False,False
row_00011,PRD-ONGWUL,12.850875916323977,0.073,Household,254.12,STORE-T5G,47,250.01,False,False,False,False,False,False,True,False,False,False,True
row_00012,PRD-UX01UP,11.007,0.0304,Snack Foods,234.38,STORE-OYG,25,4414.42,False,True,False,True,False,True,False,False,False,False,True
row_00013,PRD-741NWE,9.558,0.0,baking goods,49.35,STORE-AGY,45,671.2,False,True,False,False,True,False,False,True,False,False,False
row_00014,PRD-PGW90J,13.812,0.0431,Dairy,52.83,STORE-YLW,35,585.91,False,True,False,False,False,False,True,False,False,False,False
row_00016,PRD-9USY38,6.997,0.0908,Snack Foods,112.4,STORE-DKU,30,1305.37,False,True,False,True,False,True,False,False,True,False,False
row_00017,PRD-GH9N12,11.154,0.1041,baking goods,103.22,STORE-9RG,28,2306.15,False,True,False,True,False,False,True,True,True,False,False
row_00018,PRD-HVVZBL,18.895,0.0711,dairy,116.9,STORE-89Z,33,1784.08,False,True,False,False,False,True,False,True,True,False,False
row_00021,PRD-2CQ23Q,7.746,0.0297,CANNED,167.19,STORE-AGY,45,1774.73,False,True,False,False,True,False,False,False,False,True,False
row_00022,PRD-SUDBCI,12.896,0.042,SNACK FOODS,178.49,STORE-DKU,30,4054.27,False,True,False,True,False,True,False,False,False,True,False
row_00024,PRD-5QVWC9,6.085,0.1235,HOUSEHOLD,261.49,STORE-OYG,25,2391.62,False,True,False,True,False,True,False,False,False,False,True
row_00025,PRD-8MX1EV,12.850875916323977,0.0148,Soft Drinks,51.5,STORE-7WS,47,1252.75,True,False,False,False,True,True,False,False,False,False,False
row_00028,PRD-SB61LG,20.321,0.0493,Fruits and Vegetables,187.72,STORE-OYG,25,2025.17,False,True,False,True,False,True,False,True,False,False,True
